Job Title,Job Experience Required,Location,Functional Area,Industry,Role,Longitude,Latitude,sal,Year Bucket,Year bin
 Digital Media Planner,5 - 10 yrs,Mumbai,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Media Planning Executive/Manager,72.8773928,19.0759899,3855,5,0-5
 Online Bidding Executive,2 - 5 yrs,"Pune,Pune","Sales , Retail , Business Development","IT-Software, Software Services",Sales Executive/Officer,73.8544541,18.521428,2639,2,0-5
 Trainee Research/ Research Executive- Hi- Tech Operations,0 - 1 yrs,Gurgaon,"Engineering Design , R&D","Recruitment, Staffing",R&D Executive,77.00270015,28.42826235,2156,0,0-5
 Technical Support,0 - 5 yrs,Mumbai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Technical Support Engineer,72.8773928,19.0759899,4059,0,0-5
 Software Test Engineer -hyderabad,2 - 5 yrs,Hyderabad,IT Software - QA & Testing,"IT-Software, Software Services",Testing Engineer,78.4740613,17.360589,5347,2,0-5
 Opening For Adobe Analytics Specialist,5 - 7 yrs,Pune,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",System Analyst,73.8544541,18.521428,4838,5,0-5
 Sales- Fresher-for Leading Property Consultant,0 - 0 yrs,Bengaluru,"Sales , Retail , Business Development","Real Estate, Property",Sales Executive/Officer,77.590082,12.9767936,2585,0,0-5
 Opportunity For Azure Devops Architect For Hyderabad Location,9 - 14 yrs,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Technical Architect,78.4740613,17.360589,3914,9,6-10
 BDE- PUNE,2 - 7 yrs,Pune,"Sales , Retail , Business Development","IT-Software, Software Services",Sales Executive/Officer,73.8544541,18.521428,2111,2,0-5
 Technical Support/ Product Support,1 - 5 yrs,Bengaluru,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical),77.590082,12.9767936,2359,1,0-5
 Executive Assistant To Chairman,5 - 10 yrs,Mumbai,"Strategy , Management Consulting , Corporate Planning","Courier, Transportation, Freight , Warehousing",Corporate Planning/Strategy Manager,72.8773928,19.0759899,5569,5,0-5
 SEO Executive,1 - 6 yrs,"Noida,Delhi,Noida/Greater Noida","IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Webmaster,77.5545502,28.3900177,2167,1,0-5
